"","STATE","REG_START","REG_END","REG_REINST","ELITE_NAME","ELITE_BIRTHDATE","ELITE_DEATHDATE","ELITE_FEMALE","ELITE_REENTER","ELITE_REEXIT","ELITE_EXITTYPE","ELITE_EXITFATE","ELITE_EXITLEADER","ELITE_OCCUPATION","ELITE_RETENURE","REG_PARTY"
"1","Algeria","1992-01-14","2019-04-02","High Committee of State","Boudiaf, Mohamed","1919-06-23","1992-06-29",0,"1992-01-14","1992-06-29","Death - Assassination",NA,"Boudiaf","Party Functionary",0.457534246575342,NA
"2","Algeria","1992-01-14","2019-04-02","High Committee of State","Kafi, Ali","1928-10-07","2013-04-16",0,"1992-01-14","1994-01-31","Ruling Institution Change","OK","Kafi","Soldier",2.04931506849315,NA
"3","Algeria","1992-01-14","2019-04-02","High Committee of State","Malek, Redha","1931-12-21","2017-07-29",0,"1992-07-02","1994-01-31","Ruling Institution Change","OK","Kafi","Ambassador",1.58356164383562,NA
"4","Algeria","1992-01-14","2019-04-02","High Committee of State","Nezzar, Khaled","1937-12-25",NA,0,"1992-01-14","1994-01-31","Ruling Institution Change","OK","Kafi","Soldier",2.04931506849315,NA
"5","Algeria","1992-01-14","2019-04-02","High Committee of State","Haroun, Ali","1927-02-08",NA,0,"1992-01-14","1994-01-31","Ruling Institution Change","OK","Kafi","Lawyer",2.04931506849315,NA
"6","Algeria","1992-01-14","2019-04-02","High Committee of State","Haddam, Tedjini","1921-01-11","2000-03-20",0,"1992-01-14","1994-01-31","Ruling Institution Change","OK","Kafi","Medical Doctor",2.04931506849315,NA
"7","Argentina","1976-03-24","1983-10-30","Junta Militar de Gobierno","Videla, Jorge","1925-08-02","2013-05-17",0,"1976-03-24","1981-03-29","Expulsion","No Punishment","Viola","Army officer",5.01643835616438,NA
"8","Argentina","1976-03-24","1983-10-30","Junta Militar de Gobierno","Viola, Roberto","1924-10-13","1994-09-30",0,"1978-07-31","1981-12-10","Resignation","No Punishment","Galtieri","Army officer",3.36438356164384,NA
"9","Argentina","1976-03-24","1983-10-30","Junta Militar de Gobierno","Galtieri, Leopoldo","1926-07-15","2003-01-12",0,"1979-12-28","1982-06-18","Resignation","No Punishment","Bignone","Army officer",2.47397260273973,NA
"10","Argentina","1976-03-24","1983-10-30","Junta Militar de Gobierno","Nicolaides, Cristino","1925-01-02","2011-01-22",0,"1982-06-18","1983-12-10","Regime Change",".",".","Army officer",1.47945205479452,NA
"11","Argentina","1976-03-24","1983-10-30","Junta Militar de Gobierno","Agosti, Orlando","1924-08-22","1997-10-06",0,"1976-03-24","1979-01-25","Resignation","No Punishment","Videla","Air Force officer",2.84109589041096,NA
"12","Argentina","1976-03-24","1983-10-30","Junta Militar de Gobierno","Graffigna, Omar","1926-04-02","2019-12-09",0,"1979-01-25","1981-12-17","Resignation","No Punishment","Galtieri","Air Force officer",2.8958904109589,NA
"13","Argentina","1976-03-24","1983-10-30","Junta Militar de Gobierno","Lami Dozo, Basilio","1929-02-01","2017-02-01",0,"1981-12-17","1982-08-17","Resignation","No Punishment","Bignone","Air Force officer",0.665753424657534,NA
"14","Argentina","1976-03-24","1983-10-30","Junta Militar de Gobierno","Hughes, Augusto Jorge","1931-07-01","1993-07-01",0,"1982-08-17","1983-12-10","Regime Change",".",".","Air Force officer",1.31506849315068,NA
"15","Argentina","1976-03-24","1983-10-30","Junta Militar de Gobierno","Massera, Emilio","1925-10-19","2010-11-08",0,"1976-03-24","1978-09-15","Resignation","No Punishment","Videla","Naval officer",2.47945205479452,NA
"16","Argentina","1976-03-24","1983-10-30","Junta Militar de Gobierno","Lambruschini, Armanda","1924-06-15","2004-08-15",0,"1978-09-15","1981-09-11","Resignation","No Punishment","Viola","Naval officer",2.99178082191781,NA
